unique_id,ds,y
Finance Revenue,2023-01-31,120
Finance Revenue,2023-02-28,118
Finance Revenue,2023-03-31,132
Finance Revenue,2023-04-30,136
Finance Revenue,2023-05-31,142
Finance Revenue,2023-06-30,150
Finance Revenue,2023-07-31,155
Finance Revenue,2023-08-31,153
Finance Revenue,2023-09-30,160
Finance Revenue,2023-10-31,170
Finance Revenue,2023-11-30,185
Finance Revenue,2023-12-31,210
Finance Revenue,2024-01-31,137
Finance Revenue,2024-02-29,135
Finance Revenue,2024-03-31,151
Finance Revenue,2024-04-30,158
Finance Revenue,2024-05-31,165
Finance Revenue,2024-06-30,174
Finance Revenue,2024-07-31,181
Finance Revenue,2024-08-31,179
Finance Revenue,2024-09-30,188
Finance Revenue,2024-10-31,201
Finance Revenue,2024-11-30,219
Finance Revenue,2024-12-31,251
Finance Revenue,2025-01-31,158
Finance Revenue,2025-02-28,157
Finance Revenue,2025-03-31,176
Finance Revenue,2025-04-30,185
Finance Revenue,2025-05-31,195
Finance Revenue,2025-06-30,206
Finance Revenue,2025-07-31,215
Finance Revenue,2025-08-31,214
Finance Revenue,2025-09-30,225
Finance Revenue,2025-10-31,240
Finance Revenue,2025-11-30,263
Finance Revenue,2025-12-31,303
